ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,lat,lon,harita,osm_id,durum,not
Ade Miel Coffee Shop,cafe,coffee_shop,+90 539 280 98 80,https://www.ademielcoffee.com/,,Mo-Su 09:00-00:00,yes,wlan,Hatay Sokak 15,39.9180935,32.8585394,"https://www.google.com/maps/search/?api=1&query=39.9180935,32.8585394",node/13570517040,,
Adıyaman Çiğ Köftecisi,restaurant,,+90 312 476 91 95,https://www.adiyamancigkoftecisi.com,,11:00-04:00,,,Dikmen Cd. 379/12,39.8698952,32.8276653,"https://www.google.com/maps/search/?api=1&query=39.8698952,32.8276653",node/11206702644,,
Alaturka Döner Pide,restaurant,,+90 312 483 33 43,,,24/7,,,Dikmen Caddesi,39.8736499,32.8333806,"https://www.google.com/maps/search/?api=1&query=39.8736499,32.8333806",node/11203819534,,
Angara Kumpircisi,restaurant,,+90 541 335 02 13,,,11:00-02:00,,,,39.8767490,32.8358823,"https://www.google.com/maps/search/?api=1&query=39.8767490,32.8358823",node/11206702658,,
Anka E-Spor Merkezi Bayındır,cafe,chicken;burger;coffee_shop;sandwich;barbecue;kebab;regional;turkish,+90 312 433 30 81,https://ankaespormerkezi.com/,,24/7,yes,yes,Bayındır 1 Sokak 23/B,39.9220029,32.8573030,"https://www.google.com/maps/search/?api=1&query=39.9220029,32.8573030",way/698359673,,
Anıt Lezzet,restaurant,turkish,+90 312 229 90 97,,,Mo-Su 10:00-21:00,,,İlk Sokak 37,39.9207176,32.8399015,"https://www.google.com/maps/search/?api=1&query=39.9207176,32.8399015",node/5681740522,,
Bakalım N'olcak,restaurant,,+90 312 482 04 01,,,08:00-00:00,,,,39.8766182,32.8357592,"https://www.google.com/maps/search/?api=1&query=39.8766182,32.8357592",node/11203819569,,
Black Fish Cafe,cafe,coffee_shop,+90 544 921 24 56,,blackfishcafe,Mo-Su 11:00-23:00,,wlan,,39.9167449,32.8587422,"https://www.google.com/maps/search/?api=1&query=39.9167449,32.8587422",node/9318510617,,
Cennetkuşu Çukurambar,restaurant,,+90 312 284 29 59,cennetkusu.com,,,,,1443 Cadde 53,39.8986413,32.8116629,"https://www.google.com/maps/search/?api=1&query=39.8986413,32.8116629",node/9443897632,,
Ciğerci Bahattin,restaurant,kebab;turkish,+90 312 222 00 50,,,24/7,,,Bişkek Caddesi 68B,39.9176430,32.8171292,"https://www.google.com/maps/search/?api=1&query=39.9176430,32.8171292",node/6797454785,,
CoffeeHub,cafe,coffee_shop,+90 539 655 35 50,,,,,,Şehit Gönenç Caddesi No: 5 D:69,39.9243151,32.8458292,"https://www.google.com/maps/search/?api=1&query=39.9243151,32.8458292",way/1362583299,,
Cozy Vintage Coffee,cafe,cake;coffee_shop,+90 531 303 59 33,,cozyvintagecoffee,Su-Th 11:00-22:00; Fr-Sa 11:00-22:30,,,Büklüm Caddesi 43B,39.9093413,32.8599388,"https://www.google.com/maps/search/?api=1&query=39.9093413,32.8599388",node/13607928701,,
Dalyan Food and Drink,restaurant,,+90 544 4678281,,,,yes,,Çığır Sokak,39.9050773,32.8601874,"https://www.google.com/maps/search/?api=1&query=39.9050773,32.8601874",node/9568486234,,
Dayi Kürek Lahmacun (Emek),restaurant,,+90 312 213 6065,https://lezzetdayiyaceker.com/subeler/emek,,Mo-Su 10:00-23:30,,,Bosna Hersek Caddesi 18,39.9169219,32.8196201,"https://www.google.com/maps/search/?api=1&query=39.9169219,32.8196201",node/9689419638,,
Dayı'nın Yeri,restaurant,kebab,+90 312 473 12 90,https://dayininyeriankara.com/,,,,,1333. Cadde No: 8,39.8923173,32.8254080,"https://www.google.com/maps/search/?api=1&query=39.8923173,32.8254080",node/12672592439,,
