ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,lat,lon,harita,osm_id
1. Yurt Kantini,fast_food,,,,,,no,wlan,,39.8905190,32.7883875,"https://www.google.com/maps/search/?api=1&query=39.8905190,32.7883875",node/4622731261
100 Burger,fast_food,burger,,https://100burger.com/,,,roof,,,39.9223477,32.8170635,"https://www.google.com/maps/search/?api=1&query=39.9223477,32.8170635",node/13121418022
1071 Aspava,restaurant,kebab,,,,Mo-Su 09:00-23:30,,wlan,Dikmen Caddesi 423,39.8668495,32.8216807,"https://www.google.com/maps/search/?api=1&query=39.8668495,32.8216807",node/13645758601
15. Konukevi Kantini,cafe,,,,,,,wlan,,39.8885788,32.7917146,"https://www.google.com/maps/search/?api=1&query=39.8885788,32.7917146",node/13057959110
2. Yurt Kantini,fast_food,,,,,,,wlan,,39.8902222,32.7897722,"https://www.google.com/maps/search/?api=1&query=39.8902222,32.7897722",node/2590946334
29 MUTLU Kebap,restaurant,,,,,,,,,39.9110847,32.8608034,"https://www.google.com/maps/search/?api=1&query=39.9110847,32.8608034",node/9392980676
3 Cores Roastery Coffee Shop,cafe,coffee_shop;sandwich;dessert;bubble_tea,,https://www.3coresroastery.com/,,,yes,wlan,,39.9267296,32.8517242,"https://www.google.com/maps/search/?api=1&query=39.9267296,32.8517242",node/11964128343
3. Yurt Kantini,fast_food,,,,,,,wlan,,39.8898090,32.7882795,"https://www.google.com/maps/search/?api=1&query=39.8898090,32.7882795",node/4622731257
3E Restoran,restaurant,,,,,,,,Sakarya Caddesi,39.9221300,32.8571457,"https://www.google.com/maps/search/?api=1&query=39.9221300,32.8571457",node/3093605200
4. Yurt Kantini,fast_food,,,,,,,wlan,,39.8895581,32.7889687,"https://www.google.com/maps/search/?api=1&query=39.8895581,32.7889687",node/4622731256
5 Çayı Unlu Mamüller,cafe,,,,,,,,,39.8951919,32.8546233,"https://www.google.com/maps/search/?api=1&query=39.8951919,32.8546233",node/2188608447
5. Yurt Kantini,fast_food,,,,,,,wlan,,39.8891124,32.7899164,"https://www.google.com/maps/search/?api=1&query=39.8891124,32.7899164",node/4622731258
6. Yurt Kantini,fast_food,,,,,,,wlan,,39.8884022,32.7899915,"https://www.google.com/maps/search/?api=1&query=39.8884022,32.7899915",node/4622731263
6.45 Tunus,bar,,,,,,,,,39.9059149,32.8583833,"https://www.google.com/maps/search/?api=1&query=39.9059149,32.8583833",node/13474620650
7. Yurt Kantini,fast_food,,,,,,,wlan,,39.8890547,32.7890836,"https://www.google.com/maps/search/?api=1&query=39.8890547,32.7890836",node/4622731259
8. Yurt Kantini,fast_food,,,,,,,wlan,,39.8888785,32.7882684,"https://www.google.com/maps/search/?api=1&query=39.8888785,32.7882684",node/4622731260
9. Yurt Kantini,cafe,,,,,,,wlan,,39.8879191,32.7904532,"https://www.google.com/maps/search/?api=1&query=39.8879191,32.7904532",node/4622731262
A4 Kahve,cafe,,,https://a4kahve.com/,,Mo-Su 07:30-00:00,,,Remzi Oğuz Arık 237,39.9027309,32.8595167,"https://www.google.com/maps/search/?api=1&query=39.9027309,32.8595167",node/12918355434
ABA Piknik,restaurant,,,,,,,,,39.9178134,32.8552411,"https://www.google.com/maps/search/?api=1&query=39.9178134,32.8552411",node/2404028882
Abbas Waffle,cafe,,,,,,,,,39.9058723,32.8600591,"https://www.google.com/maps/search/?api=1&query=39.9058723,32.8600591",node/4617561930
Acıktım,fast_food,,,,,,no,,,39.8851776,32.8557927,"https://www.google.com/maps/search/?api=1&query=39.8851776,32.8557927",node/112607131
Adana Sofrası,restaurant,,,,,,,,,39.8759422,32.8621137,"https://www.google.com/maps/search/?api=1&query=39.8759422,32.8621137",node/4627366897
Ade Miel Coffee Shop,cafe,coffee_shop,+90 539 280 98 80,https://www.ademielcoffee.com/,,Mo-Su 09:00-00:00,yes,wlan,Hatay Sokak 15,39.9180935,32.8585394,"https://www.google.com/maps/search/?api=1&query=39.9180935,32.8585394",node/13570517040
Adrenal,bar,,,,,,,,,39.9192256,32.8283351,"https://www.google.com/maps/search/?api=1&query=39.9192256,32.8283351",node/4371605591
Adıyaman Çiğ Köftecisi,restaurant,,+90 312 476 91 95,https://www.adiyamancigkoftecisi.com,,11:00-04:00,,,Dikmen Cd. 379/12,39.8698952,32.8276653,"https://www.google.com/maps/search/?api=1&query=39.8698952,32.8276653",node/11206702644
Ahbapp Bar,bar,,,,,,,,,39.9227171,32.8560446,"https://www.google.com/maps/search/?api=1&query=39.9227171,32.8560446",node/13020194677
Akay Çorba,restaurant,,,,,,,,Büklüm Sk.,39.9130180,32.8577647,"https://www.google.com/maps/search/?api=1&query=39.9130180,32.8577647",node/4301635289
Ala Döner,restaurant,,,,,,,,,39.9248439,32.8521562,"https://www.google.com/maps/search/?api=1&query=39.9248439,32.8521562",node/4579394125
alamania,restaurant,german,,,,,,,Bilezik Sokağı,39.9115968,32.8587321,"https://www.google.com/maps/search/?api=1&query=39.9115968,32.8587321",node/12899966901
Alaros,cafe,,,,,,,,,39.9194950,32.8557685,"https://www.google.com/maps/search/?api=1&query=39.9194950,32.8557685",node/6420538089
Alaturka Döner Pide,restaurant,,+90 312 483 33 43,,,24/7,,,Dikmen Caddesi,39.8736499,32.8333806,"https://www.google.com/maps/search/?api=1&query=39.8736499,32.8333806",node/11203819534
Altı Üstü Bar,bar,,,,,Mo-Su 12:00-01:00,,,Konur Sokak 26,39.9172932,32.8564496,"https://www.google.com/maps/search/?api=1&query=39.9172932,32.8564496",node/10274853051
Altınnal Meyhane,restaurant,,,,,,,,,39.8911796,32.8560452,"https://www.google.com/maps/search/?api=1&query=39.8911796,32.8560452",node/247208815
Always Rock Bar,bar,,,,alwaysrockbar,Mo-Su 11:30-01:30,,,İnkılap Sokak 5/11,39.9226886,32.8560691,"https://www.google.com/maps/search/?api=1&query=39.9226886,32.8560691",node/12081392355
Amarillo,restaurant,,,,,,,,,39.8927543,32.8695777,"https://www.google.com/maps/search/?api=1&query=39.8927543,32.8695777",node/122487904
Amelie's Garden Succulent & Cofee,cafe,coffee_shop,,,,,yes,yes,,39.9003130,32.8575571,"https://www.google.com/maps/search/?api=1&query=39.9003130,32.8575571",node/6855907479
Angara Kumpircisi,restaurant,,+90 541 335 02 13,,,11:00-02:00,,,,39.8767490,32.8358823,"https://www.google.com/maps/search/?api=1&query=39.8767490,32.8358823",node/11206702658
Anka E-Spor Merkezi Bayındır,cafe,chicken;burger;coffee_shop;sandwich;barbecue;kebab;regional;turkish,+90 312 433 30 81,https://ankaespormerkezi.com/,,24/7,yes,yes,Bayındır 1 Sokak 23/B,39.9220029,32.8573030,"https://www.google.com/maps/search/?api=1&query=39.9220029,32.8573030",way/698359673
Ankara Agora Meyhane,pub,,+90 312 223 0003,,,,,,61. Cadde,39.9235271,32.8262737,"https://www.google.com/maps/search/?api=1&query=39.9235271,32.8262737",node/13970194802
