mekan,il,tur,website,kaynak,kategori,kalem,fiyat
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Tuzlu Kurabiyeler, Tuzlu Tezgahı",Mercimekli Sefa,212.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Tuzlu Kurabiyeler, Tuzlu Tezgahı",Pancarlı Labneli Mini Poğaça,212.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Tuzlu Kurabiyeler, Tuzlu Tezgahı",Ispanaklı Labneli Mini Poğaça,212.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Yaş Pastalar,Budapeşte Pasta,850.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Babalar Günü,Babama Özel Pasta,1650.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Babalar Günü,Canım Babam Pasta,1650.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Kurabiye,Çikolatalı Cevizli Kurabiye,243.75
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Adet Pastalar, Cheesecake",San Sebastian Cheesecake,325.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Tuzlu Kurabiyeler, Tuzlu Tezgahı",Çatlak Kurabiye,212.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Kurabiye,Hurmalı Hatay Kömbesi,243.75
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Tuzlu Kurabiyeler, Tuzlu Tezgahı",Spesiyal Tuzlu Kurabiye,212.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Yaş Pastalar,Elizinn Çikolatalı Spesiyal Pasta,975.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Yaş Pastalar,Venedik Pasta,1000.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Pasta, Yaş Pastalar",Çilekli Fıstık Drajeli İsveç Pasta,1000.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Yaş Pastalar,Frambuazlı Çikolatalı İsveç Pasta,1000.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Yaş Pastalar,Kara Orman Meyveli Pasta,1000.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Yaş Pastalar,Kestaneli Fıstık Drajeli Pasta,1150.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Yaş Pastalar,Frambuazlı İsveç Pasta,1000.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Yaş Pastalar,Bademli Krokanlı Pasta,975.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Yaş Pastalar,Volkanik Pasta,1000.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Yaş Pastalar,Bezeli Meyveli Pasta,850.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Spesiyal Kurabiyeler, Tatlı Tezgahı",Süt Dilimi,318.75
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Baklava, Bayram Lezzetleri",Kaymaklı Tel Kadayıf,425.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Baklava, Bayram Lezzetleri",Badempare,425.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Baklava, Bayram Lezzetleri",Cevizpare,425.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Baklava, Bayram Lezzetleri",Fıstıkpare,425.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Baklava, Bayram Lezzetleri",İstanbul Tatlısı,425.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Baklava, Bayram Lezzetleri",Vezirparmağı,425.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Baklava, Bayram Lezzetleri",Havuç Dilimi,800.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Atıştırmalık Paket,Fesleğenli Grissini,350.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Atıştırmalık Paket,Parmesanlı Peynirli Grissini,350.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Çikolata, Sevgililer Günü",Büyük Kalp Dekorlu Çikolata Kutu,1850.00
