mekan,tur,website,kaynak,kalem_sayisi,medyan_fiyat
100 Burger,fast_food,https://100burger.com,js,0,
3 Cores Roastery Coffee Shop,cafe,https://www.3coresroastery.com,js,0,
A4 Kahve,cafe,https://a4kahve.com,js,0,
Ade Miel Coffee Shop,cafe,https://www.ademielcoffee.com,js,0,
Adıyaman Çiğ Köftecisi,restaurant,https://www.adiyamancigkoftecisi.com,js,0,
Anka E-Spor Merkezi Bayındır,cafe,https://ankaespormerkezi.com,js,0,
Bake & Joy,cafe,https://www.instagram.com,js,0,
bi'sütlü bi'tatlı,cafe,https://bisutlubitatli.com.tr,js,0,
Bilge Şahin Pasta Dükkanı,cafe,https://bilgesahinpastadukkani.com,js,0,
Cafe Puzzle barbekü,fast_food,https://cafepuzzle.com,js,0,
Catalyst Coffee and Hub,cafe,https://www.instagram.com,js,0,
Cennetkuşu Çukurambar,restaurant,https://cennetkusu.com,js,0,
Dayi Kürek Lahmacun (Emek),restaurant,https://lezzetdayiyaceker.com,js,0,
Dayı'nın Yeri,restaurant,https://dayininyeriankara.com,js,0,
Elizinn,cafe,https://www.elizinn.com.tr,woo,99,465.00
Emir Hatay Dürümcüsü,restaurant,https://www.simitcidunyasi.com.tr,js,0,
EskiYeni Bar,bar,http://eskiyenibar.com,js,0,
Fanus Komünite Kafe,cafe,https://www.instagram.com,js,0,
Fevzi Hoca Balık Lokantası,restaurant,https://www.fevzihoca.com.tr,js,0,
Gazi Üniversitesi Mühendislik Yemekhanesi,fast_food,https://mediko.gazi.edu.tr,js,0,
Greenwich Coffee,cafe,https://greenwichcoffee.com,woo,100,280.00
Gıyma Kebap,restaurant,http://instagram.com,js,0,
homies pub,bar,https://www.instagram.com,js,0,
Hype Coffee,cafe,https://www.instagram.com,js,0,
IF Sokak Tunus,pub,https://ifsokak.com,js,0,
Jolly Joker Ankara,bar,http://www.jjankara.com,js,0,
Kalender Zebra,restaurant,https://kalenderzebra.com,js,0,
Keyfimce,cafe,http://keyfimcecafe.com,js,0,
Klas Pastanesi,cafe,https://www.klaspastaneleri.com,js,0,
Konakbay Çibörek-Mantı,restaurant,http://www.konakbay.com.tr,js,0,
Kronotrop,cafe,https://kronotrop.com.tr,html,7,1050.00
Liman Kitap Kafe,cafe,https://www.limankitap.com,js,0,
Livane Restaurant - Artvin Evi,restaurant,https://livanerestaurant.com,js,0,
Maharet Mantı Ankara & Kayseri Yağlaması,restaurant,https://www.maharetmanti.com,js,0,
Meşhur Özçelik Aspava,restaurant,https://ozcelikaspava.com,js,0,
Miso Ramen Ankara,restaurant,https://misoramenankara.qr.menulux.com,js,0,
Mozaik Kebap,restaurant,http://www.mozaikkebap.com,js,0,
New Jersey Coffee House,cafe,https://www.newjerseycoffeehouse.com,js,0,
Niyokki Armada,restaurant,https://niyokki.com.tr,js,0,
Nusr-Et Steakhouse Ankara,restaurant,https://www.nusr-et.com.tr,js,0,
Quick China,restaurant,https://www.quickchina.com.tr,js,0,
Quito Coffee,cafe,https://www.instagram.com,js,0,
Ring Music Studio & Living Room,cafe,https://ringstudio.city,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Süha  Döner & Köfteci,restaurant,https://restaurantguru.com,js,0,
Tarihi İnegöl Köftecisi Nevzat Usta,restaurant,https://www.nevzatusta.com,js,0,
Tavacı Recep Usta Parkvadi,restaurant,https://www.recepustaparkvadi.com,js,0,
Tetra N Roastery,cafe,https://tetranroastery.com,js,0,
The York Pub and Bar,pub,https://www.instagram.com,js,0,
Urumchi Uyghur Restaurant,restaurant,https://www.instagram.com,js,0,
Veganarsist Kızılay,cafe,https://veganarsist.com,woo,59,150.00
Vinni the Vegan Witch,cafe,https://www.instagram.com,js,0,
Yelken Balık,restaurant,https://yelkenbalik.com.tr,js,0,
Yöresel Türk Mutfağı,restaurant,https://yoreselturkmitfagi.com,js,0,
Çiçek Lokantası,restaurant,https://ciceklokantasi.com.tr,js,0,
Çiğköftesim,restaurant,https://www.cigkoftesim.com,js,0,
Çukurağa Sofrası,restaurant,http://cukuraga.com.tr,html,28,750.00
