puan,ad,tur,telefon,saatler,bahce,adres,harita,durum,not
8,Ade Miel Coffee Shop,cafe,+90 539 280 98 80,Mo-Su 09:00-00:00,yes,Hatay Sokak 15,"https://www.google.com/maps/search/?api=1&query=39.9180935,32.8585394",,
8,Anka E-Spor Merkezi Bayındır,cafe,+90 312 433 30 81,24/7,yes,Bayındır 1 Sokak 23/B,"https://www.google.com/maps/search/?api=1&query=39.9220029,32.8573030",,
8,Hanzade Lounge,cafe,+90 312 562 00 00,Mo-Su 09:00-23:00,yes,Servi Sokak,"https://www.google.com/maps/search/?api=1&query=39.9228904,32.8639093",,
8,Hype Coffee,cafe,+90 501 477 06 00,Mo-Su 09:00-23:30,yes,Selanik Caddesi 55,"https://www.google.com/maps/search/?api=1&query=39.9171796,32.8578746",,
8,Koala Café,cafe,+90 542 151 65 06,Mo-Su 10:00-23:00,yes,Bülten Caddesi 21-C,"https://www.google.com/maps/search/?api=1&query=39.9067845,32.8618714",,
8,New Jersey Coffee House,cafe,+90 534 061 50 59,Mo-Su 08:00-23:00,yes,Atatürk Bulvarı 223/A,"https://www.google.com/maps/search/?api=1&query=39.9044632,32.8587829",,
8,Quito Coffee,cafe,+90 532 550 0061,Mo-Su 08:00-23:00,yes,Selanik Caddesi 82,"https://www.google.com/maps/search/?api=1&query=39.9161221,32.8582641",,
7,Dr. Falafel,restaurant,+90 312 419 17 57,Su-Th 12:00-22:00; Fr-Sa 12:00-23:30,yes,Selanik Caddesi 66/B,"https://www.google.com/maps/search/?api=1&query=39.9173491,32.8575731",,
7,Fanus Komünite Kafe,cafe,+90 551 993 73 13,Mo-Su 10:00-22:30,yes,84. Cadde 34/A,"https://www.google.com/maps/search/?api=1&query=39.9207812,32.8404557",,
7,Kebapçı Mustafa Birlik,restaurant,+90 551 354 50 06,Mo-Su 11:00-24:00,yes,448. Cadde 63,"https://www.google.com/maps/search/?api=1&query=39.8791469,32.8803944",,
7,Çiğköftesim,restaurant,+90 552 678 9090,Mo-Su 11:00-24:00,yes,Başçavuş Sokağı 111C,"https://www.google.com/maps/search/?api=1&query=39.9066832,32.8695892",,
6,Kitapça,cafe,+90 530 304 24 22,Mo-Su 10:00-23:00,,50/A,"https://www.google.com/maps/search/?api=1&query=39.9189893,32.8585980",,
6,Liman Kitap Kafe,cafe,+90 312 317 98 98,Mo-Su 09:00-00:00,,Ufuk Üniversitesi Caddesi 8,"https://www.google.com/maps/search/?api=1&query=39.9093775,32.8104251",,
6,Lügat Kitap Kahve,cafe,+90 553 750 88 24,Mo-Su 09:00-22:00,,Kestane Caddesi 11,"https://www.google.com/maps/search/?api=1&query=39.9346050,32.8715672",,
6,Sanat Edebiyat Kafe,cafe,+90 542 149 80 62,24/7,,Selanik Caddesi 26,"https://www.google.com/maps/search/?api=1&query=39.9204598,32.8559029",,
