mekan_id,il,mekan_ad,adres,yazar,lisans,kaynak_bag
node/5014570422,01,Adana Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Adana_Museum_Complex_entrance.png/1280px-Adana_Museum_Complex_entrance.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Basak,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Adana_Museum_Complex_entrance.png
relation/15552863,02,Adıyaman Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Museum_Ad%C4%B1yaman_Au%C3%9Fenansicht.jpg/1280px-Museum_Ad%C4%B1yaman_Au%C3%9Fenansicht.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Ingeborg Simon,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Museum_Ad%C4%B1yaman_Au%C3%9Fenansicht.jpg
way/310906811,03,Zafer Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/VictoryMuseumAfyonkarahsar.JPG/1280px-VictoryMuseumAfyonkarahsar.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CeeGee,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:VictoryMuseumAfyonkarahsar.JPG
way/1370713107,03,Afyonkarahisar Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Museum_Afyonkarahisar_01.jpg/1280px-Museum_Afyonkarahisar_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Ingeborg Simon,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Museum_Afyonkarahisar_01.jpg
way/183310100,09,Milet Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Miletus_Museum%2C_Turkey_%2853331495269%29.jpg/1280px-Miletus_Museum%2C_Turkey_%2853331495269%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"Carole Raddato from FRANKFURT, Germany",CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:Miletus_Museum,_Turkey_(53331495269).jpg"
way/517638951,09,Aydın Arkeoloji Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Ayd%C4%B1nArchaeologicalMuseum_%281%29.JPG/1280px-Ayd%C4%B1nArchaeologicalMuseum_%281%29.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CeeGee,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Ayd%C4%B1nArchaeologicalMuseum_(1).JPG
way/232389727,10,Balıkesir Kuvâ-yi Milliye Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Bal%C4%B1kesir_Museum.JPG/1280px-Bal%C4%B1kesir_Museum.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Ollios,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Bal%C4%B1kesir_Museum.JPG
way/547814870,10,Kuvayi Milliye Kültür Müzesi,https://upload.wikimedia.org/wikipedia/commons/0/0f/Burhaniye_KuvayiMilliye_M%C3%BCzesi.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Sabri76,Public domain,https://commons.wikimedia.org/wiki/File:Burhaniye_KuvayiMilliye_M%C3%BCzesi.jpg
way/1111718273,10,Bandırma Arkeoloji Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Band%C4%B1rma_M%C3%BCzesi%27nde_bir_lahit.jpg/1280px-Band%C4%B1rma_M%C3%BCzesi%27nde_bir_lahit.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Kırmızı,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Band%C4%B1rma_M%C3%BCzesi%27nde_bir_lahit.jpg
way/396743449,11,Söğüt Ertuğrul Gazi Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Ertu%C4%9Frul_Gazi_M%C3%BCzesi.JPG/1280px-Ertu%C4%9Frul_Gazi_M%C3%BCzesi.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Maderibeyza,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Ertu%C4%9Frul_Gazi_M%C3%BCzesi.JPG
