mekan,il,website,tur,kaynak_url,kalem_sayisi,not
Dafne Kebap Döner,,https://www.dafnedonerkebap.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.dafnedo
Hugo'ss Cafe Restaurant,,https://www.huggoss.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.huggoss
İstanbul Balıkçısı,,https://www.instagram.com,menu bulunamadi,,0,
Cihangir Kebap Kaburga,,https://www.cihangirkebap.com.tr,menu bulunamadi,,0,
Güney Yıldızı Kordon,,https://yumurtalikguneyyildizi.com,gorsel-ocr-gerekli,https://yumurtalikguneyyildizi.com/wp-content/uploads/2025/06/menu.jpeg,0,
Mantımania,,https://www.instagram.com,menu bulunamadi,,0,
Pizza Pan,,https://www.instagram.com,menu bulunamadi,,0,
McDonald's,,https://www.mcdonalds.com.tr,gorsel-ocr-gerekli,https://www.mcdonalds.com.tr/Files/Slider/gmalite/c5a03601-335f-43a0-8ca1-6df9aab05e5f-2-li-mcchicken-menu-1920x800.jpg,0,
Starbucks,,https://www.starbucks.com.tr,menu bulunamadi,,0,
Pizza Taxi Cumhuriyet,,https://www.pizzataxi.com.tr,menu bulunamadi,,0,
Rovers Gastropub & Live Music,,https://www.rovers.com.tr,menu bulunamadi,,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Altınşehir Burger King Popeyes Sbarro,,https://www.tiklagelsin.com,menu bulunamadi,,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Köfteci Yusuf,,https://kofteciyusuf.com,menu bulunamadi,,0,
Lagos Balık Restaurant,,http://www.lagosbalik.com,erisilemedi,,0,"Page.eval_on_selector_all: Execution context was destroyed, "
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
100 Burger,,https://100burger.com,menu bulunamadi,,0,
Ade Miel Coffee Shop,,https://www.ademielcoffee.com,menu bulunamadi,,0,
A4 Kahve,,https://a4kahve.com,menu bulunamadi,,0,
3 Cores Roastery Coffee Shop,,https://www.3coresroastery.com,menu bulunamadi,,0,
Starbucks,,https://www.starbucks.co.uk,pdf-menu-degil,https://www.starbucks.co.uk/sites/starbucks-uk-pwa/files/2026-04/FY25_Modern%20Slavery%20Statement_Final.pdf,0,
Adıyaman Çiğ Köftecisi,,https://www.adiyamancigkoftecisi.com,menu bulunamadi,,0,
Arabica,,https://arabicacoffee.com.tr,menu bulunamadi,,0,
Arabica,,https://arabicacoffee.com.tr,menu bulunamadi,,0,
Ayşe Hanım Ev Yemekleri,,https://aysehanim.com.tr,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://aysehanim.c
Anka E-Spor Merkezi Bayındır,,https://ankaespormerkezi.com,menu bulunamadi,,0,
Arabica Coffee House,,https://arabicacoffee.com.tr,menu bulunamadi,,0,
Arabica,,https://arabicacoffee.com.tr,menu bulunamadi,,0,
Arabica,,https://arabicacoffee.com.tr,menu bulunamadi,,0,
Bilge Şahin Pasta Dükkanı,,https://bilgesahinpastadukkani.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://bilgesahinp
Balıkçı Halil Faros,,https://balikcihalil.com,menu bulunamadi,,0,
ATEŞHAN ET KEBAP DÖNER,,https://www.ateshan.com.tr,menu bulunamadi,,0,
Bake & Joy,,https://www.instagram.com,menu bulunamadi,,0,
BOLFOOD,,https://bolfood.adisyonline.com,menu bulunamadi,,0,
Bogazici Lokantasi,,https://bogazicilokantasi.com.tr,menu bulunamadi,,0,
Cafe Puzzle barbekü,,https://cafepuzzle.com,menu bulunamadi,,0,
Buta Bakü,,https://butaankara.com,pdf-ocr-gerekli,https://butaankara.com/wp/wp-content/uploads/buta_me.pdf,0,
Burgerdinho,,https://www.burgerdinho.com,menu bulunamadi,,0,
Burger King,,https://www.burgerking.com.tr,gorsel-ocr-gerekli,https://www.burgerking.com.tr/cmsfiles/categories/urunler/menuler-icon.png?v=873,0,
Cennetkuşu Çukurambar,,https://cennetkusu.com,erisilemedi,,0,Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://cennet
Coffee de Madrid Aydınlıkevler,,https://,erisilemedi,,0,Page.goto: Protocol error (Page.navigate): Cannot navigate t
Catalyst Coffee and Hub,,https://www.instagram.com,menu bulunamadi,,0,
Ciğerci Bahattin,,https://www.cigercibahattin.net,menu bulunamadi,,0,
Central,,https://www.instagram.com,menu bulunamadi,,0,
bi'sütlü bi'tatlı,,https://bisutlubitatli.com.tr,erisilemedi,,0,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigatin"
Coffee de Madrid Metromall,,https://coffeedemadrid.com.tr,menu bulunamadi,,0,
Coffee de Madrid Mamak,,https://coffeedemadrid.com.tr,menu bulunamadi,,0,
Dayi Kürek Lahmacun (Emek),,https://lezzetdayiyaceker.com,menu bulunamadi,,0,
Coffee Lab,,https://www.coffeelab.com.tr,menu bulunamadi,,0,
Düveroğlu,,https://www.duveroglu.com.tr,erisilemedi,,0,Page.goto: net::ERR_CERT_DATE_INVALID at https://www.duverog
Coffee de Madrid Yenikent,,https://coffeedemadrid.com.tr,menu bulunamadi,,0,
Coffee de Madrid Kalaba,,https://coffeedemadrid.com.tr,menu bulunamadi,,0,
EskiYeni Bar,,http://eskiyenibar.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at http://eskiyenibar.
Dayı'nın Yeri,,https://dayininyeriankara.com,menu bulunamadi,,0,
Fahri Bey,,http://www.fahribeyakcaabatkofte.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at http://www.fahribey
Divan Brasserie Çengelhan,,https://www.divan.com.tr,pdf-ocr-gerekli,https://www.divan.com.tr/getmedia/cfc50c94-a204-480b-ab85-55b5556488b0/Divan_Cerez_Aydinlatma_Metni.pdf?lang=tr-TR,0,
Eymir Bağevi,,https://eymirgolubagevi.com,menu bulunamadi,,0,
Fanus Komünite Kafe,,https://www.instagram.com,menu bulunamadi,,0,
Fevzi Hoca Balık Lokantası,,https://www.fevzihoca.com.tr,menu bulunamadi,,0,
Geyik Cafe Bistro,,https://www.geyikcafebistro.com.tr,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.geyikca
Gazi Üniversitesi Mühendislik Yemekhanesi,,https://mediko.gazi.edu.tr,pdf-ocr-gerekli,https://webupload.gazi.edu.tr/upload/15/2023/11/30/b7fa70bb-acec-40fa-92ca-bcfdcc2b55d7-genel-dokuman-lIstesI.pdf,0,
Fiero Cafe,,https://restaurantguru.com,menu bulunamadi,,0,
GUA Coffee Company Vega Center,,https://www.instagram.com,menu bulunamadi,,0,
Emir Hatay Dürümcüsü,,https://www.simitcidunyasi.com.tr,erisilemedi,,0,"Page.eval_on_selector_all: Execution context was destroyed, "
Big Chefs,,https://www.bigchefs.com.tr,pdf-menu-degil,https://bigchefs.com.tr/wp-content/uploads/2026/07/Bu%CC%88yu%CC%88k%20S%CC%A7efler%2031.12.2025%20TSRS%20Raporu.pdf,0,pdf hata: 
Hacegan Sofrası,,https://hacegansofrasi.net,menu bulunamadi,,0,
Ekrem Usta,,https://www.ekremusta.com.tr,erisilemedi,,0,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigatin"
Gıyma Kebap,,http://instagram.com,menu bulunamadi,,0,
homies pub,,https://www.instagram.com,menu bulunamadi,,0,
Jolly Joker Ankara,,http://www.jjankara.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at http://www.jjankara
Hype Coffee,,https://www.instagram.com,menu bulunamadi,,0,
Guşgana Kebap,,https://www.gusgana.com,gorsel-ocr-gerekli,https://www.gusgana.com/homepage/menuButton.png,0,
Kalender Zebra,,https://kalenderzebra.com,menu bulunamadi,,0,
Keyfimce,,http://keyfimcecafe.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at http://keyfimcecafe
IF Sokak,,https://ifsokak.com,menu bulunamadi,,0,
KITA MU Ankara,,https://www.instagram.com,menu bulunamadi,,0,
Klas Pastanesi,,https://www.klaspastaneleri.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.klaspas
Kafeterya,,https://kafeterya.metu.edu.tr,pdf-ocr-gerekli,https://kafeterya.metu.edu.tr/system/files/agustos_2026_maliyetsiz_menu_-_kopya.pdf,0,
IF Sokak Çayyolu,,https://ifsokak.com,menu bulunamadi,,0,
IF Sokak Tunus,,https://ifsokak.com,menu bulunamadi,,0,
Klinik Kahve,,https://cliniccoffee.com,menu bulunamadi,,0,
Komagene,,https://komagene.com.tr,pdf-ocr-gerekli,https://www.komagene.com.tr/KL_PO_001_2_KALITE_VE_GIDA_GUVENLIGI_POLITIKASI.pdf,0,
Komagene,,https://www.komagene.com.tr,pdf-ocr-gerekli,https://www.komagene.com.tr/KL_PO_001_2_KALITE_VE_GIDA_GUVENLIGI_POLITIKASI.pdf,0,
Komagene,,https://komagene.com.tr,pdf-ocr-gerekli,https://www.komagene.com.tr/KL_PO_001_2_KALITE_VE_GIDA_GUVENLIGI_POLITIKASI.pdf,0,
Kavakli Restaurant,,https://www.kavaklirestaurant.com,menu bulunamadi,,0,
Köfteci Yusuf,,https://www.kofteciyusuf.com,menu bulunamadi,,0,
Komagene,,https://komagene.com.tr,pdf-ocr-gerekli,https://www.komagene.com.tr/KL_PO_001_2_KALITE_VE_GIDA_GUVENLIGI_POLITIKASI.pdf,0,
Livane Restaurant - Artvin Evi,,https://livanerestaurant.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://livaneresta
Konakbay Çibörek-Mantı,,http://www.konakbay.com.tr,menu bulunamadi,,0,
Kronotrop Ankara Vega Center Bakery,,https://www.kronotrop.com.tr,pdf-ocr-gerekli,https://www.kronotrop.com.tr/pdf/kvkk_basvuru.pdf,0,
Kronotrop,,https://kronotrop.com.tr,pdf-ocr-gerekli,https://www.kronotrop.com.tr/pdf/kvkk_basvuru.pdf,0,
