mekan,il,website,kaynak_url,kalem,fiyat
360 Istanbul,,https://360istanbul.com,https://360istanbul.com/web_menu_pdf/dinner_sushi_menu_en.pdf,RED LENTIL DUMPLING,400.0
360 Istanbul,,https://360istanbul.com,https://360istanbul.com/web_menu_pdf/dinner_sushi_menu_en.pdf,BEETROOT HUMMUS,400.0
360 Istanbul,,https://360istanbul.com,https://360istanbul.com/web_menu_pdf/dinner_sushi_menu_en.pdf,ANATOLIAN CHEESE PLATTER,1350.0
360 Istanbul,,https://360istanbul.com,https://360istanbul.com/web_menu_pdf/dinner_sushi_menu_en.pdf,CRISP SHRIMP PURI SPHERES,800.0
360 Istanbul,,https://360istanbul.com,https://360istanbul.com/web_menu_pdf/dinner_sushi_menu_en.pdf,Zucchini Flower Dolma,550.0
360 Istanbul,,https://360istanbul.com,https://360istanbul.com/web_menu_pdf/dinner_sushi_menu_en.pdf,HOUSE CURED BEEF BRESAOLA,800.0
360 Istanbul,,https://360istanbul.com,https://360istanbul.com/web_menu_pdf/dinner_sushi_menu_en.pdf,CHEESE CROUQUETAS,700.0
360 Istanbul,,https://360istanbul.com,https://360istanbul.com/web_menu_pdf/dinner_sushi_menu_en.pdf,SALT & PEPPER CALAMARİ,750.0
360 Istanbul,,https://360istanbul.com,https://360istanbul.com/web_menu_pdf/dinner_sushi_menu_en.pdf,GRATİN AUBERGİNE WİTH FETA CHEESE,550.0
360 Istanbul,,https://360istanbul.com,https://360istanbul.com/web_menu_pdf/dinner_sushi_menu_en.pdf,DUCK SAMOSA,450.0
360 Istanbul,,https://360istanbul.com,https://360istanbul.com/web_menu_pdf/dinner_sushi_menu_en.pdf,QUİNOA SALAD,850.0
360 Istanbul,,https://360istanbul.com,https://360istanbul.com/web_menu_pdf/dinner_sushi_menu_en.pdf,TOMATO AND ARUGULA,700.0
360 Istanbul,,https://360istanbul.com,https://360istanbul.com/web_menu_pdf/dinner_sushi_menu_en.pdf,CROQUETS,730.0
360 Istanbul,,https://360istanbul.com,https://360istanbul.com/web_menu_pdf/dinner_sushi_menu_en.pdf,SALMON CEVICHE SALAD,800.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,TRÜFLÜ PİDE,900.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,YANIK TİRAMİSU SUNDAE,490.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,CHOUQUETTES,340.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,ÇİKOLATA MOUSSE,380.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,BAKED ALASKA,430.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,MAVİ KUYRUK KARİDES,1250.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,DANA KABURGA,1250.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,LEVREK,1250.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,STEAK FRITES,1420.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,ROTİ BUTTER TAVUK BUT,850.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,ET ŞİNİTZEL,1050.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,COZY IZGARA KÖFTE,980.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,ÇITIR TAVUK,780.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,TABAĞI,840.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,KIZARMIŞ ASLAN BALIĞI,900.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,ÇITIR MÜCVER PİDE,880.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,YAZ SEBZELİ RIGATE,700.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,DENİZ MAHSÜLLÜ TAGLIARINI,1150.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,PEYNİRLİ RAVIOLI,790.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,MARGHERITA,610.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,MANTAR PİZZA,790.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,PROSCIUTTO PİZZA,1300.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,BBQ TİFTİK ETLİ PİZZA,1150.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,ACILI PEPPERONİ PİZZA,980.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,AVOKADO TOSTADA,950.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,TARTAR TRIO,900.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,KIRMIZI KARİDES CARPACIO,1200.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,ET TARTAR,1060.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,ET TATAKI,980.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,KÖZLENMİŞ BEZELYE & ENGİNAR EZMESİ,730.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,FIRIN PANCAR CARPACCIO,680.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,KUMKUATLI KABAK CARPACCIO,780.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,COZY YEŞİL SALATA,580.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,YAZ SALATASI,680.0
Cozy Etiler,,https://cozyistanbul.com.tr,https://cozyistanbul.com.tr/wp-content/uploads/2025/06/Cozy-Menü-Mayis-Revize.pdf,VEGAN PİZZA,840.0
