mekan,tur,website,kaynak,kalem_sayisi,medyan_fiyat
Cihangir Kebap Kaburga,restaurant,https://www.cihangirkebap.com.tr,js,0,
Dafne Kebap Döner,restaurant,https://www.dafnedonerkebap.com,js,0,
Güney Yıldızı Kordon,cafe,https://yumurtalikguneyyildizi.com,js,0,
Hugo'ss Cafe Restaurant,restaurant,https://www.huggoss.com,js,0,
İstanbul Balıkçısı,restaurant,https://www.instagram.com,js,0,
Kahve Dünyası,cafe,https://www.kahvedunyasi.com,html,12,350.00
Lagos Balık Restaurant,restaurant,http://www.lagosbalik.com,js,0,
Mantımania,restaurant,https://www.instagram.com,js,0,
McDonald's,fast_food,https://www.mcdonalds.com.tr,js,0,
Pizza Pan,restaurant,https://www.instagram.com,js,0,
Pizza Taxi Cumhuriyet,restaurant,https://www.pizzataxi.com.tr,js,0,
Rovers Gastropub & Live Music,restaurant,https://www.rovers.com.tr,js,0,
Starbucks,cafe,https://www.starbucks.com.tr,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
Altınşehir Burger King Popeyes Sbarro,fast_food,https://www.tiklagelsin.com,js,0,
Köfteci Yusuf,restaurant,https://kofteciyusuf.com,js,0,
Starbucks,cafe,https://www.starbucks.co.uk,js,0,
100 Burger,fast_food,https://100burger.com,js,0,
3 Cores Roastery Coffee Shop,cafe,https://www.3coresroastery.com,js,0,
A4 Kahve,cafe,https://a4kahve.com,js,0,
Ade Miel Coffee Shop,cafe,https://www.ademielcoffee.com,js,0,
Adıyaman Çiğ Köftecisi,restaurant,https://www.adiyamancigkoftecisi.com,js,0,
Anka E-Spor Merkezi Bayındır,cafe,https://ankaespormerkezi.com,js,0,
Arabica,cafe,https://arabicacoffee.com.tr,js,0,
Arabica,cafe,https://arabicacoffee.com.tr,js,0,
Arabica,cafe,https://arabicacoffee.com.tr,js,0,
Arabica,cafe,https://arabicacoffee.com.tr,js,0,
Arabica Coffee House,cafe,https://arabicacoffee.com.tr,js,0,
ATEŞHAN ET KEBAP DÖNER,restaurant,https://www.ateshan.com.tr,js,0,
Ayşe Hanım Ev Yemekleri,fast_food,https://aysehanim.com.tr,js,0,
Bake & Joy,cafe,https://www.instagram.com,js,0,
Balıkçı Halil Faros,restaurant,https://balikcihalil.com,js,0,
bi'sütlü bi'tatlı,cafe,https://bisutlubitatli.com.tr,js,0,
Big Chefs,restaurant,https://www.bigchefs.com.tr,js,0,
Bilge Şahin Pasta Dükkanı,cafe,https://bilgesahinpastadukkani.com,js,0,
