il,ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,ilce,mahalle,lat,lon,harita,osm_id
Ankara,15 Temmuz Demokrasi Şehitleri Müzesi,museum,,,,,,,,,,,39.9289649,32.8037554,"https://www.google.com/maps/search/?api=1&query=39.9289649,32.8037554",relation/16363339
Ankara,Abdürrahim Tuncak Atatürk Müzesi,museum,,,,,,,,,,,39.8854822,32.6512709,"https://www.google.com/maps/search/?api=1&query=39.8854822,32.6512709",way/332236303
Ankara,Abidinpaşa Köşkü,museum,,,,,,,,,,,39.9276229,32.8825651,"https://www.google.com/maps/search/?api=1&query=39.9276229,32.8825651",way/417922716
Ankara,Ahmet Adnan Saygun Merkezi,arts_centre,,,,,,,,,,,39.8758216,32.7513457,"https://www.google.com/maps/search/?api=1&query=39.8758216,32.7513457",node/4326329325
Ankara,Akman Rönesans,events_venue,,,,,,,,,,,39.8802079,32.6724636,"https://www.google.com/maps/search/?api=1&query=39.8802079,32.6724636",way/1124681955
Ankara,Akün Sahnesi,theatre,,,,,,,,,,,39.9038757,32.8590584,"https://www.google.com/maps/search/?api=1&query=39.9038757,32.8590584",node/122609769
Ankara,Ala Geyik Adası,zoo,,,,,,,,,,,39.9497102,32.7977003,"https://www.google.com/maps/search/?api=1&query=39.9497102,32.7977003",way/1497310780
Ankara,Alagöz Karargah Müzesi,museum,,,,,,,,,,,39.7466290,32.4785716,"https://www.google.com/maps/search/?api=1&query=39.7466290,32.4785716",way/293503614
Ankara,Alakart Sineması,cinema,,,,,,,,,,,39.9568884,32.6619564,"https://www.google.com/maps/search/?api=1&query=39.9568884,32.6619564",node/13051267995
Ankara,Ali Ersoy Mahallesi̇ Buz Pisti,ice_rink,,,,,,,,,,,39.9674539,32.8988643,"https://www.google.com/maps/search/?api=1&query=39.9674539,32.8988643",way/740141035
Ankara,Alpman Sanat Galerisi,arts_centre,,,,,,,,,,,39.8910219,32.8554312,"https://www.google.com/maps/search/?api=1&query=39.8910219,32.8554312",node/247208821
