il,ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,ilce,mahalle,lat,lon,harita,osm_id
Adana,11E - E. Emin Kıraathanesi,cafe,,,,,,,,78142. Sokak,Çukurova,Toros Mahallesi,37.0456576,35.2970112,"https://www.google.com/maps/search/?api=1&query=37.0456576,35.2970112",node/11510751094
Adana,5 Kardeşler Kebap & Izgara,restaurant,,,,,,,,,,,37.0317579,35.4000420,"https://www.google.com/maps/search/?api=1&query=37.0317579,35.4000420",node/11691115269
Adana,5 Ocak Kebap,fast_food,,,,,,,,,,,37.0011197,35.3212450,"https://www.google.com/maps/search/?api=1&query=37.0011197,35.3212450",node/6472767885
Adana,56B - Tayyar'ın Yeri,restaurant,,,,,,,,,,,37.0454130,35.2970743,"https://www.google.com/maps/search/?api=1&query=37.0454130,35.2970743",node/12579291458
Adana,56E - Şenol Usta Kebap,restaurant,turkish,,,,,,,,,,37.0455802,35.2969087,"https://www.google.com/maps/search/?api=1&query=37.0455802,35.2969087",node/11510751096
Adana,65A Yağlar Kasap/Lokanta,restaurant,turkish;kebab,,,,,,,Ali Sepici Caddesi 65A,Çukurova,Toros Mahallesi,37.0456003,35.2962745,"https://www.google.com/maps/search/?api=1&query=37.0456003,35.2962745",way/1309482170
Adana,6A - Ders Cafe,cafe,,,,,,yes,,78142. Sokak,Çukurova,Toros Mahallesi,37.0460436,35.2986715,"https://www.google.com/maps/search/?api=1&query=37.0460436,35.2986715",node/10956012534
Adana,7/C Ocakbaşı,restaurant,,,,,,,,,,,37.0342607,35.3124336,"https://www.google.com/maps/search/?api=1&query=37.0342607,35.3124336",node/4575469301
Adana,Adana Beyzade Kebap,restaurant,turkish;grill,,,,,,wlan,,,,37.0448274,35.3089572,"https://www.google.com/maps/search/?api=1&query=37.0448274,35.3089572",node/6358124785
Adana,Adana Büyükşehir Belediyesi Taşköprü Konuk Evi,fast_food,,,,,,,,,,,36.9840207,35.3328752,"https://www.google.com/maps/search/?api=1&query=36.9840207,35.3328752",node/12092510812
Adana,Afilli Balık,restaurant,seafood,,,,,,,,,,37.0402060,35.3074040,"https://www.google.com/maps/search/?api=1&query=37.0402060,35.3074040",node/11141080625
Adana,Agah Restaurant,restaurant,turkish,,,,,,,Ramazanoğlu Caddesi,Seyhan,Kurtuluş,36.9978214,35.3195067,"https://www.google.com/maps/search/?api=1&query=36.9978214,35.3195067",node/13232660591
Adana,Akçatekir Yaşam Park Restaurant,restaurant,kebap;pirzola;kahvaltı;çay;kahve,,,,,,,,Pozantı,Akçatekir,37.3358571,34.7979880,"https://www.google.com/maps/search/?api=1&query=37.3358571,34.7979880",node/9810553112
Adana,ali baba kebab,restaurant,,,,,,,,,,,37.0567866,35.2748828,"https://www.google.com/maps/search/?api=1&query=37.0567866,35.2748828",node/5398040721
Adana,Antakya Zahter Döner,restaurant,turkish,+903222347070,,,Mo-Su 10:00-22:00,,,79154. Sokak,Çukurova,Mahfesığmaz Mahallesi,37.0433032,35.3023240,"https://www.google.com/maps/search/?api=1&query=37.0433032,35.3023240",node/12621210170
Adana,Arzu Lokantası,restaurant,turkish,,,,,,,,Pozantı,,37.4244690,34.8730604,"https://www.google.com/maps/search/?api=1&query=37.4244690,34.8730604",node/13267029901
Adana,Asya Kebap,restaurant,kebab;turkish,,,,Mo-Su 10:00-23:00,,,,,,36.9980398,35.3194600,"https://www.google.com/maps/search/?api=1&query=36.9980398,35.3194600",node/5275348821
Adana,Ayman Döner,fast_food,,,,,,,,,,,37.0311422,35.3133611,"https://www.google.com/maps/search/?api=1&query=37.0311422,35.3133611",node/7418639027
Adana,Ayran Öz & Soylu Cafe,fast_food,,,,,,,,,,,37.0504301,35.2609195,"https://www.google.com/maps/search/?api=1&query=37.0504301,35.2609195",node/6854671592
Adana,Baba Onbaşılar Ciğer,restaurant,turkish;ciğer,,,,,,,,,,37.0475730,35.2907100,"https://www.google.com/maps/search/?api=1&query=37.0475730,35.2907100",node/11556490940
Adana,Babaoğlu Döner ve Pide Fırını,restaurant,turkish,,,,,,,,,,37.0354651,35.2503977,"https://www.google.com/maps/search/?api=1&query=37.0354651,35.2503977",node/9963525586
Adana,Balcalı kafeteria,restaurant,,,,,,,,,,,37.0561245,35.3613199,"https://www.google.com/maps/search/?api=1&query=37.0561245,35.3613199",node/764558057
Adana,Balcalı restaurant,restaurant,,,,,,,,,,,37.0555204,35.3593066,"https://www.google.com/maps/search/?api=1&query=37.0555204,35.3593066",node/628953363
Adana,Balıkçı 1 ESSU,restaurant,seafood,,,,,,,,,,37.0600578,35.3562647,"https://www.google.com/maps/search/?api=1&query=37.0600578,35.3562647",node/11966369398
Adana,Balıkçı Fevzi,restaurant,,,,,,,,,,,36.5655810,35.3891811,"https://www.google.com/maps/search/?api=1&query=36.5655810,35.3891811",node/10811973642
Adana,Bayram Kebap,restaurant,,,,,,,,,,,36.9889430,35.3238428,"https://www.google.com/maps/search/?api=1&query=36.9889430,35.3238428",node/5132640532
